Timestamp,User,File ID,File opaque ID,File name,Download Successful
24 Nov 2017 06:05:09 GMT,jonny.bratseth@btsignaal.com,445,iYB6lJJAM0FkpCw3raWumMTNo5wZf8uO0HUGxIj_w2m_vMH11D86A,favicon.ico,Y
24 Nov 2017 06:05:09 GMT,jonny.bratseth@btsignaal.com,444,iYB6lJJAM0FkpCw3raWu2MTNvEmTwGf06Z1TkgVjaWuR6lb2UpOOw,logo3.png,Y
24 Nov 2017 15:14:20 GMT,jonny.bratseth@btsignaal.com,444,iYB6lJJAM0FkpCw3raWu2MTNvEmTwGf06Z1TkgVjaWuR6lb2UpOOw,logo3.png,Y
24 Nov 2017 15:14:20 GMT,jonny.bratseth@btsignaal.com,445,iYB6lJJAM0FkpCw3raWumMTNo5wZf8uO0HUGxIj_w2m_vMH11D86A,favicon.ico,Y
25 Nov 2017 08:39:29 GMT,jonny.bratseth@btsignaal.com,3878,igB6lJJAM0FkpCw3rGauHQNyN9iGW7dlmpOhGpEXUax7K7PvfCLTjX-,BTS Application Server Artifacts.zip,Y
25 Nov 2017 08:45:17 GMT,jonny.bratseth@btsignaal.com,3882,igB6lJJAM0FkpCw3rGat34NyCK63HsPFDxWBDXph-x33Hib6CHlrmHs,BTS Application Server Artifacts.zip,Y
25 Nov 2017 09:49:08 GMT,jonny.bratseth@btsignaal.com,3893,igB6lJJAM0FkpCw3rGatn8NyMN6-FlcrDw14zgreqQAqa5dblZuuZQD,BTS Customer Support Application (CSA) - Data Store - CDT_s.import-log.txt,Y
27 Nov 2017 10:56:29 GMT,jonny.bratseth@btsignaal.com,2279,icB6lJJAM0FkpCw3rCQuHUN1KDhhJF4_G5VHDmWbaPQ8Ot5X6gxToM,sitesDefaultFavicon.ico,Y
27 Nov 2017 10:56:38 GMT,jonny.bratseth@btsignaal.com,2279,igB6lJJAM0FkpCw3rCQuHUNyGFbW5BlupYC3ScevdANEplQvE0sRCMb,sitesDefaultFavicon.ico,Y
27 Nov 2017 10:56:38 GMT,jonny.bratseth@btsignaal.com,2278,igB6lJJAM0FkpCw3rCQuHQNyPyUrEaKevnmRI3n1amm-la7NJm7rE8I,sitesDefaultLogo.png,Y
